--- STDOUT ---
[2025-05-22 13:23:08.131148] [0x00002700] [trace]   Generating perimeters for layer 162
[2025-05-22 13:23:08.131148] [0x00002700] [trace]   Generating perimeters for layer 162, region 0
[2025-05-22 13:23:08.131148] [0x00000440] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.131148] [0x00000fcc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.131148] [0x00000440] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.131148] [0x00000440] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.131148] [0x00000fcc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.131148] [0x00000fcc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.131148] [0x00002700] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.131148] [0x00002700] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.131148] [0x00002700] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.131148] [0x00000440] [trace]   Generating perimeters for layer 139 - Done
[2025-05-22 13:23:08.131148] [0x00000440] [trace]   Generating perimeters for layer 140
[2025-05-22 13:23:08.131148] [0x00000440] [trace]   Generating perimeters for layer 140, region 0
[2025-05-22 13:23:08.131148] [0x00000fcc] [trace]   Generating perimeters for layer 96 - Done
[2025-05-22 13:23:08.131148] [0x00000fcc] [trace]   Generating perimeters for layer 97
[2025-05-22 13:23:08.131148] [0x00000fcc] [trace]   Generating perimeters for layer 97, region 0
[2025-05-22 13:23:08.132144] [0x00002700] [trace]   Generating perimeters for layer 162 - Done
[2025-05-22 13:23:08.132144] [0x00002700] [trace]   Generating perimeters for layer 163
[2025-05-22 13:23:08.132144] [0x00002700] [trace]   Generating perimeters for layer 163, region 0
[2025-05-22 13:23:08.132144] [0x00000440] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.132144] [0x00000440] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.132144] [0x00000440] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.132144] [0x00000fcc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.132144] [0x00000fcc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.132144] [0x00000fcc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.132144] [0x00002700] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.132144] [0x00002700] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.132144] [0x00002700] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.132144] [0x00000440] [trace]   Generating perimeters for layer 140 - Done
[2025-05-22 13:23:08.132144] [0x00000440] [trace]   Generating perimeters for layer 141
[2025-05-22 13:23:08.132144] [0x00000440] [trace]   Generating perimeters for layer 141, region 0
[2025-05-22 13:23:08.132144] [0x00000fcc] [trace]   Generating perimeters for layer 97 - Done
[2025-05-22 13:23:08.132144] [0x00000fcc] [trace]   Generating perimeters for layer 98
[2025-05-22 13:23:08.132144] [0x00000fcc] [trace]   Generating perimeters for layer 98, region 0
[2025-05-22 13:23:08.132144] [0x00002700] [trace]   Generating perimeters for layer 163 - Done
[2025-05-22 13:23:08.132144] [0x00002700] [trace]   Generating perimeters for layer 164
[2025-05-22 13:23:08.132144] [0x00002700] [trace]   Generating perimeters for layer 164, region 0
[2025-05-22 13:23:08.132144] [0x00000440] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.132144] [0x00000440] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
