--- STDOUT ---
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 136 - Done
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 137
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 137, region 0
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 97 - Done
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 98
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 98, region 0
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 157 - Done
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 158
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 158, region 0
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 137 - Done
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 138
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 138, region 0
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 158 - Done
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 159
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 159, region 0
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 159 - Done
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 160
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 160, region 0
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 138 - Done
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 139
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 139, region 0
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 160 - Done
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 161
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 161, region 0
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 161 - Done
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 162
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 162, region 0
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 139 - Done
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 140
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 140, region 0
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 140 - Done
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 141
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 141, region 0
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 98 - Done
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 162 - Done
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 99
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 163
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 99, region 0
