--- STDOUT ---
[2025-05-26 14:01:08.362810] [0x000033d4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.362810] [0x000033d4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.362810] [0x000033d4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.368822] [0x00002cfc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.368822] [0x00002cfc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.368822] [0x00002cfc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.385128] [0x00001fa8] [trace]   Generating perimeters for layer 375 - Done
[2025-05-26 14:01:08.385128] [0x00001fa8] [trace]   Generating perimeters for layer 376
[2025-05-26 14:01:08.385128] [0x00001fa8] [trace]   Generating perimeters for layer 376, region 0
[2025-05-26 14:01:08.385128] [0x00001fa8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.385128] [0x00001fa8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.385128] [0x00001fa8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.389465] [0x00000d60] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.389465] [0x00000d60] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.389465] [0x00000d60] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.403002] [0x00001fa8] [trace]   Generating perimeters for layer 376 - Done
[2025-05-26 14:01:08.403002] [0x00001fa8] [trace]   Generating perimeters for layer 377
[2025-05-26 14:01:08.403002] [0x00001fa8] [trace]   Generating perimeters for layer 377, region 0
[2025-05-26 14:01:08.403002] [0x000033d4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.403002] [0x000033d4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.403002] [0x000033d4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
