--- STDOUT ---
[2025-05-20 16:02:55.004371] [0x00002068] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:55.004371] [0x000006e0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:55.004371] [0x000006e0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:55.004371] [0x000006e0] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:55.043935] [0x000013dc] [trace]   Generating perimeters for layer 93 - Done
[2025-05-20 16:02:55.043935] [0x000013dc] [trace]   Generating perimeters for layer 94
[2025-05-20 16:02:55.043935] [0x000013dc] [trace]   Generating perimeters for layer 94, region 0
[2025-05-20 16:02:55.046941] [0x000013dc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:55.046941] [0x000013dc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:55.046941] [0x000013dc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:55.046941] [0x00001f5c] [trace]   Generating perimeters for layer 8 - Done
[2025-05-20 16:02:55.046941] [0x00001f5c] [trace]   Generating perimeters for layer 9
[2025-05-20 16:02:55.046941] [0x00001f5c] [trace]   Generating perimeters for layer 9, region 0
[2025-05-20 16:02:55.061881] [0x00001f5c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:55.061881] [0x00001f5c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:55.061881] [0x00001f5c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:55.090440] [0x00002068] [trace]   Generating perimeters for layer 65 - Done
[2025-05-20 16:02:55.090440] [0x00002068] [trace]   Generating perimeters for layer 66
[2025-05-20 16:02:55.090440] [0x00002068] [trace]   Generating perimeters for layer 66, region 0
[2025-05-20 16:02:55.090440] [0x000006e0] [trace]   Generating perimeters for layer 78 - Done
[2025-05-20 16:02:55.090440] [0x000006e0] [trace]   Generating perimeters for layer 79
[2025-05-20 16:02:55.090440] [0x000006e0] [trace]   Generating perimeters for layer 79, region 0
[2025-05-20 16:02:55.111788] [0x00002068] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:55.111788] [0x00002068] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:55.111788] [0x00002068] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:55.149078] [0x000006e0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:55.149078] [0x000006e0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:55.149078] [0x000006e0] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:55.199500] [0x000013dc] [trace]   Generating perimeters for layer 94 - Done
[2025-05-20 16:02:55.199500] [0x000013dc] [trace]   Generating perimeters for layer 95
[2025-05-20 16:02:55.199500] [0x000013dc] [trace]   Generating perimeters for layer 95, region 0
[2025-05-20 16:02:55.206482] [0x00001f5c] [trace]   Generating perimeters for layer 9 - Done
[2025-05-20 16:02:55.206482] [0x00001f5c] [trace]   Generating perimeters for layer 10
[2025-05-20 16:02:55.206482] [0x00001f5c] [trace]   Generating perimeters for layer 10, region 0
[2025-05-20 16:02:55.206482] [0x00001f5c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:55.206482] [0x00001f5c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:55.206482] [0x00001f5c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:55.206482] [0x000013dc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:55.206482] [0x000013dc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:55.206482] [0x000013dc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:55.253905] [0x00002068] [trace]   Generating perimeters for layer 66 - Done
[2025-05-20 16:02:55.253905] [0x00002068] [trace]   Generating perimeters for layer 67
[2025-05-20 16:02:55.253905] [0x00002068] [trace]   Generating perimeters for layer 67, region 0
[2025-05-20 16:02:55.264991] [0x000006e0] [trace]   Generating perimeters for layer 79 - Done
[2025-05-20 16:02:55.264991] [0x000006e0] [trace]   Generating perimeters for layer 80
[2025-05-20 16:02:55.264991] [0x000006e0] [trace]   Generating perimeters for layer 80, region 0
[2025-05-20 16:02:55.264991] [0x00002068] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:55.264991] [0x00002068] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:55.264991] [0x00002068] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:55.284408] [0x000006e0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:55.284408] [0x000006e0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:55.284408] [0x000006e0] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
